url,domain,n_referenciada_por,ids_referenciantes,campos_origem
https://www.gov.br/mec/pt-br/brasil-alfabetizado,www.gov.br,3,FRM-CP-2026-EDU-0076;FRM-CP-2026-EDU-0109;FRM-CP-2026-EDU-0177,fonte_url
https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14457.htm,www.planalto.gov.br,3,FRM-CP-2026-TRAB-0091;FRM-CP-2026-TRAB-0116;FRM-CP-2026-TRAB-0143,fonte_url
https://plataforma.buscaativaescolar.org.br/,plataforma.buscaativaescolar.org.br,2,FRM-CP-2026-EDU-0056;FRM-CP-2026-EDU-0114,fonte_url
https://portal.mec.gov.br/dmdocuments/ensino_inovador.pdf,portal.mec.gov.br,2,FRM-CP-2026-EDU-0041;FRM-CP-2026-EDU-0081,fonte_url
https://social.mg.gov.br/trabalho-e-emprego/educacao-profissional/minas-forma,social.mg.gov.br,2,FRM-CP-2026-TRAB-0047;FRM-CP-2026-TRAB-0062,fonte_url
https://www.educacao.mg.gov.br/servicos/exames-de-ensino-fundamental-e-medio,www.educacao.mg.gov.br,2,FRM-CP-2026-EDU-0054;FRM-CP-2026-EDU-0055,fonte_url
https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/aprendizagem-profissional?utm_source=chatgpt.com,www.gov.br,2,FRM-CP-2026-TRAB-0034;FRM-CP-2026-TRAB-0075,fonte_url
https://www.gov.br/mec/pt-br/projovem,www.gov.br,2,FRM-CP-2026-PSOC-0042;FRM-CP-2026-PSOC-0086,fonte_url
https://www.gov.br/mj/pt-br/assuntos/seus-direitos/migracoes/politica-nacional-de-migracoes-refugio-e-apatridia-1,www.gov.br,2,FRM-CP-2026-PSOC-0048;FRM-CP-2026-PSOC-0087,fonte_url
https://www.gov.br/senappen/pt-br/acesso-a-informacao/politicas-acoes-e-programas/politicas-penais/educacao/2025-2028/ce.pdf,www.gov.br,2,FRM-CP-2026-EDU-0131;FRM-CP-2026-EDU-0187,fonte_url
https://www.seduc.ce.gov.br/educacao-de-jovens-e-adultos-eja,www.seduc.ce.gov.br,2,FRM-CP-2026-EDU-0169;FRM-CP-2026-EDU-0171,fonte_url
https://www.seduc.pa.gov.br/pagina/3986-ed--jovens-e-adultos-eja,www.seduc.pa.gov.br,2,FRM-CP-2026-EDU-0129;FRM-CP-2026-EDU-0133,fonte_url
https://www.sps.ce.gov.br/qualificacao-profissional,www.sps.ce.gov.br,2,FRM-CP-2026-TRAB-0145;FRM-CP-2026-TRAB-0146,fonte_url
https://agenciaminas.mg.gov.br/noticia/educacao-lanca-oficialmente-campanha-de-busca-ativa-escolar-2025-para-reintegrar-estudantes-infrequentes,agenciaminas.mg.gov.br,1,FRM-CP-2026-PSOC-0032,fonte_url
