url,domain,status_code,status_class,url_final,elapsed_ms,n_referenciada_por,erro
https://portal.mec.gov.br/component/tags/tag/pronatec-aprendiz,portal.mec.gov.br,403.0,forbidden_403,https://portal.mec.gov.br/component/tags/tag/pronatec-aprendiz,237,1,
https://www.acnur.org/br/o-que-fazemos/politicas-publicas,www.acnur.org,403.0,forbidden_403,https://www.acnur.org/br/o-que-fazemos/politicas-publicas,391,1,
https://www.gov.br/senappen/pt-br/acesso-a-informacao/politicas-acoes-e-programas/politicas-penais/educacao/2020-2024/pe.pdf,www.gov.br,200.0,ok_200,https://www.gov.br/senappen/pt-br/acesso-a-informacao/politicas-acoes-e-programas/politicas-penais/educacao/2020-2024/pe.pdf,1199,1,
https://portalantigo.ifsertaope.edu.br/index.php/proeja/1186-ifsertaope/ingresso-if/cursos-tecnicos-ing/proeja-fic,portalantigo.ifsertaope.edu.br,,erro_rede,,138,1,ConnectError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)
https://www.gov.br/mec/pt-br/pe-de-meia,www.gov.br,,erro_rede,,59,1,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://atualmt.com.br/2026/03/18/seja-pro-trabalho-e-emprego-amplia-qualificacao-profissional-em-pernambuco,atualmt.com.br,,bloqueado_robots,,0,1,
https://www.seduc.ce.gov.br/educacao-de-jovens-e-adultos-eja,www.seduc.ce.gov.br,,erro_rede,,72,2,ConnectError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)
https://www.seduc.ce.gov.br/projeto-professor-diretor-de-turma-ppdt,www.seduc.ce.gov.br,,erro_rede,,132,1,ConnectError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)
https://leisestaduais.com.br/ce/lei-ordinaria-n-17572-2021-ceara-dispoe-sobre-o-programa-ceara-educa-mais-consistente-em-acoes-destinadas-a,leisestaduais.com.br,403.0,forbidden_403,https://leisestaduais.com.br/ce/lei-ordinaria-n-17572-2021-ceara-dispoe-sobre-o-programa-ceara-educa-mais-consistente-em-acoes-destinadas-a,182,1,
https://www.gov.br/secom/pt-br/assuntos/noticias-regionalizadas/novo-bolsa-familia/mar.26/bolsa-familia-chega-a-mais-de-1-3-milhao-de-beneficiarios-do-ceara-a-partir-desta-quarta-18,www.gov.br,200.0,ok_200,https://www.gov.br/secom/pt-br/assuntos/noticias-regionalizadas/novo-bolsa-familia/mar.26/bolsa-familia-chega-a-mais-de-1-3-milhao-de-beneficiarios-do-ceara-a-partir-desta-quarta-18,2091,1,
https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/Mpv/mpv1116.htm,www.planalto.gov.br,,timeout,,30261,1,TimeoutException
